,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID0,mase,0.6116638,0.6159088,0.84828615,0.5249873,0.40009904,0.5222776,1.2474405,2.0234146
1,ID1,mase,0.93392295,0.73864096,1.0116407,0.90320855,0.64891875,0.685255,1.0388532,1.7774295
2,ID10,mase,1.5706285,1.3450732,1.3442706,1.2629938,1.2959028,1.2999665,1.140675,1.8304552
3,ID101,mase,1.3677837,0.7546902,1.0767375,1.0511482,0.2292269,0.31271926,6.1011443,7.6812987
4,ID102,mase,0.5679342,0.60183555,0.567703,0.5858756,0.5871404,0.7403106,1.0846773,1.6502922
5,ID103,mase,0.51434094,0.41943535,0.5835759,0.46101615,0.21888381,0.29960045,0.9014435,2.0384614
6,ID104,mase,0.2690884,0.43249592,0.3915288,0.33914295,0.27195838,0.20298447,2.48794,3.302027
7,ID105,mase,0.15301107,0.1689081,0.4389595,0.07179108,0.2824177,0.15629777,0.55791605,1.8073021
8,ID107,mase,1.3783407,1.3795605,1.4106379,1.2267969,1.0756638,1.2295634,1.5370882,2.9213116
9,ID108,mase,0.90897787,0.75504595,0.93927675,0.4339897,0.6181523,0.5652536,0.6190109,0.79044586
10,ID109,mase,4.573489,4.4294114,4.5837016,4.2754164,4.3285036,4.2816257,4.093253,4.5462613
11,ID110,mase,0.2524481,0.5439938,0.28072396,0.67584896,0.8038895,0.95977706,0.91617864,0.49122807
12,ID111,mase,0.56261927,0.64708304,0.7735754,0.5555649,0.80520034,0.72537917,1.2285926,1.6375946
13,ID112,mase,0.41616586,0.45703742,0.4005811,0.50651366,0.6386382,0.5728376,1.9424112,2.897561
14,ID113,mase,0.8465937,0.7194952,0.7006231,0.8700157,0.7802204,0.75996333,1.114291,0.9585925
15,ID114,mase,0.9522653,1.0462524,1.0725814,1.2021132,0.9015963,0.89261216,2.0581455,2.2757685
16,ID115,mase,1.1987522,1.5278963,1.6599605,1.7338648,1.7419015,1.8114613,1.494398,1.4956268
17,ID116,mase,0.08243692,0.08761842,0.1040541,0.04419924,0.061475072,0.058340095,0.8572292,1.3096288
18,ID117,mase,0.25099847,0.26305515,0.25844088,0.28202188,0.28294152,0.27336845,0.89717567,1.3030236
19,ID118,mase,0.18034405,0.24555762,0.23409982,0.16347308,0.20470892,0.24828357,0.6986904,1.0729381
20,ID119,mase,0.6896329,0.65195936,0.75180787,0.62083817,0.6888355,0.61539954,1.0635077,1.7068273
21,ID12,mase,0.050273556,0.060230594,0.048054576,0.046626993,0.057039328,0.046834283,0.0649521,0.11320755
22,ID120,mase,0.23153572,0.24811935,0.34452754,0.113554426,0.14172804,0.13316329,1.7215557,2.8591032
23,ID121,mase,0.4647697,0.48967203,0.45363978,0.49282983,0.49087033,0.52877265,0.4438199,0.43619797
24,ID122,mase,0.4011261,0.43346766,0.41200557,0.43272015,0.4633861,0.48368037,0.9323938,1.1764195
25,ID123,mase,0.5975145,0.6601467,0.7041305,0.52004385,0.4706823,0.5840983,1.2032018,2.0938842
26,ID124,mase,0.33312964,0.30351818,0.27297682,0.49568692,0.42446366,0.36731875,0.32990626,0.602953
27,ID125,mase,0.43664765,0.38890475,0.61972535,0.2106142,0.24858166,0.29502952,0.85087496,0.16764669
28,ID126,mase,1.4720255,1.4978677,1.5207777,1.4199632,1.4300172,1.4797972,2.4967034,2.4829545
29,ID127,mase,0.39538944,0.2886277,0.36136222,0.3153883,0.26614553,0.17748135,1.898708,2.4201362
30,ID128,mase,0.049271997,0.06263348,0.03422095,0.06803901,0.17278789,0.12541838,1.5334477,2.2648525
31,ID129,mase,0.3075263,0.39176455,0.39205867,0.2814727,0.21022196,0.36878026,2.4059482,3.544681
32,ID13,mase,1.1956998,1.129891,1.1689528,1.0807925,1.1904022,1.2215688,1.0846962,1.4522916
33,ID130,mase,0.14591111,0.17724952,0.17899565,0.16266581,0.16194047,0.13754779,2.1192658,2.8455555
34,ID131,mase,0.01391216,0.015815629,0.012912515,0.011385854,0.050303385,0.020064121,0.9536433,1.3034129
35,ID132,mase,0.1539765,0.1523151,0.18444867,0.15753175,0.13349968,0.12333172,0.6309583,1.029176
36,ID133,mase,0.7536423,0.6889781,0.7017309,0.66374564,0.59262174,0.5894312,1.479859,1.7207462
37,ID134,mase,1.551472,1.6136203,1.7410443,1.3722868,1.2349825,1.4227442,1.5069244,3.1866133
38,ID135,mase,0.076358125,0.11466763,0.11943998,0.13870999,0.2617383,0.24695265,0.68150383,0.8353081
39,ID136,mase,0.53468865,0.426826,0.48047408,0.52783704,0.31607038,0.295262,0.41592464,0.35698783
40,ID137,mase,1.0025651,0.87188584,0.7305041,0.8806529,0.8244056,0.638778,0.21471004,1.0893016
41,ID138,mase,0.3226275,0.29681796,0.3141287,0.29758194,0.35926363,0.37408897,1.7252898,2.3620977
42,ID139,mase,1.5231631,1.4512135,1.4375787,1.4680994,1.4186319,1.3415647,1.4246866,1.3930285
43,ID14,mase,0.82144815,0.8008459,0.7603897,0.7446818,0.86407095,0.91914344,0.7909211,0.4299994
44,ID140,mase,2.8657002,2.4211469,2.8388062,2.356043,2.0014088,1.9326085,2.6468735,0.5714286
45,ID141,mase,2.0283902,2.093939,2.587658,2.2125611,1.8262653,1.79064,1.6963696,1.0826771
46,ID142,mase,0.18396962,0.23674348,0.19184683,0.22767514,0.32988697,0.30773708,0.7089096,0.8503401
47,ID143,mase,0.97000754,0.9597933,1.0624787,0.93123543,1.00002,0.9067521,0.88452584,1.574074
48,ID144,mase,1.5936074,1.4684371,1.591347,1.273074,1.0325179,1.1885971,0.24404392,1.1627907
49,ID145,mase,0.34210983,0.28851274,0.3081338,0.32074696,0.26626045,0.3134259,0.2654155,0.65575624
50,ID146,mase,0.5272854,0.41960913,0.4731645,0.52044564,0.30904487,0.28827247,0.4087266,0.3498916
51,ID147,mase,0.46091697,0.4660185,0.43760768,0.42417777,0.48669532,0.48646063,0.64642555,0.6132707
52,ID148,mase,0.11021505,0.13401116,0.07592339,0.12374686,0.16869587,0.16292141,0.31846544,0.15455092
53,ID149,mase,0.09042744,0.050534267,0.108937375,0.031994294,0.04093744,0.01763865,0.18641214,0.13126473
54,ID15,mase,1.4233735,1.3263575,1.4795648,1.3475626,1.1637446,1.291766,0.9841909,1.8256366
55,ID150,mase,0.20647365,0.2165601,0.14092205,0.18802643,0.28056467,0.3304387,0.47654024,0.20503615
56,ID151,mase,0.2221177,0.2226623,0.19753934,0.20734732,0.23436736,0.22998676,0.31282827,0.14474365
57,ID152,mase,0.4405845,0.46873575,0.41472837,0.49091944,0.5157885,0.47120795,0.43223134,0.46729
58,ID153,mase,1.1136662,2.0420387,1.3896468,0.87446976,2.1392548,2.2703366,2.3008845,2.8177965
59,ID154,mase,0.37234488,0.6649672,0.84971464,0.7864524,0.4798917,0.3574657,1.832036,1.3285024
60,ID155,mase,0.6725475,0.9053578,1.227105,1.1006626,0.2958577,0.35573605,1.6880919,0.8336815
61,ID156,mase,1.4720255,1.4978677,1.5207777,1.4199632,1.4300172,1.4797972,2.4967034,2.4829545
62,ID157,mase,1.1923593,1.0814097,1.0978746,0.99543446,0.7715018,0.7826141,0.6855827,1.7381536
63,ID158,mase,1.0969671,1.0248462,1.0630493,0.88242924,0.67788756,0.7846703,0.18218195,0.95053196
64,ID159,mase,0.08660901,0.049462847,0.06508196,0.019814609,0.1522067,0.12272672,1.3454698,2.0414534
65,ID16,mase,1.7992768,1.728477,1.8464586,1.7268355,1.639401,1.6636258,2.162549,2.4200675
66,ID160,mase,1.0302579,1.0145764,0.8966218,0.9155168,1.0072825,0.75764054,0.22817397,0.7446038
67,ID161,mase,0.7521121,0.6625921,0.7551477,0.47256082,0.29361343,0.40103337,0.8797622,1.7895588
68,ID162,mase,1.2539953,1.4253663,1.6925013,1.4567512,1.1926728,1.0770385,2.5106635,0.75376886
69,ID163,mase,1.6666001,1.4768157,1.8539935,1.4861263,1.1080549,1.01552,2.573262,0.3829787
70,ID164,mase,2.7213979,2.38851,2.58088,2.584615,2.4033673,2.331315,2.4167576,3.0069637
71,ID165,mase,0.2950434,0.28859654,0.28028718,0.26373082,0.22289672,0.27635923,0.079767086,0.3997599
72,ID166,mase,2.076226,1.880872,2.0012302,1.795201,1.8149737,1.8246897,1.7246339,1.9655173
73,ID167,mase,1.8737674,1.8555151,1.86229,1.8584728,1.8788855,1.8583688,3.0970678,3.536042
74,ID168,mase,0.21900976,0.309434,0.23815201,0.28734875,0.38064718,0.41377363,0.90211034,1.2620192
75,ID17,mase,1.3537892,1.5127149,1.4518174,1.4506632,1.4988258,1.620232,0.50212115,0.93955517
76,ID173,mase,0.3769826,0.38179976,0.36724532,0.36832637,0.36989802,0.39204973,0.3848733,0.38770822
77,ID174,mase,0.16963272,0.18215492,0.16374114,0.17992,0.15884559,0.13843156,0.854243,1.0432191
78,ID175,mase,0.22011657,0.22816911,0.22783893,0.23998624,0.22406179,0.22500291,0.2706909,0.27427596
79,ID176,mase,2.7585053,2.4624739,2.690517,2.6343567,2.4180887,2.359936,2.5213203,3.3308551
80,ID177,mase,0.37594354,0.3596758,0.343615,0.37973547,0.4254615,0.4125302,0.4905038,0.9008314
81,ID178,mase,0.04790761,0.1941411,0.11096811,0.11389449,0.1911403,0.22309987,0.18645664,0.07614206
82,ID179,mase,0.1607493,0.13579473,0.07342407,0.12647924,0.11868456,0.10402025,0.1864946,0.5786026
83,ID18,mase,1.2931454,1.2129242,1.2598037,1.2659827,1.2987238,1.2970703,0.9414665,1.5177279
84,ID180,mase,0.15528981,0.7061142,0.06494067,0.8211211,0.6762495,0.68724346,1.0011111,1.535254
85,ID181,mase,1.9906397,2.1630135,1.9229636,2.3402078,2.6244068,2.48282,3.6986406,5.72165
86,ID182,mase,0.06413815,0.59277755,0.4051084,0.76333904,0.69547206,0.5965779,1.6569322,2.7380283
87,ID183,mase,0.24861939,0.27796635,0.85367584,0.34479627,0.25561816,0.26944765,1.8759089,2.999998
88,ID184,mase,0.40443358,0.4057793,0.25256726,0.33565137,0.416363,0.15651992,1.191237,2.8151262
89,ID185,mase,1.5364344,1.2340907,1.5305972,1.2783405,1.1603622,1.1647291,1.0723132,2.4489794
90,ID186,mase,0.28718403,0.25073734,0.27037212,0.26437488,0.24695806,0.25955746,0.37553516,0.35714287
91,ID187,mase,0.9750188,0.5148633,0.70404893,0.6616789,0.67634183,0.67050815,1.6136761,0.8241758
92,ID188,mase,4.193095,4.8876314,4.4488025,3.9865124,4.9534802,5.229357,1.5001408,0.95864654
93,ID189,mase,0.15303572,0.18869023,0.17010325,0.15815422,0.20724541,0.20325427,0.37365466,0.37439597
94,ID19,mase,0.59003097,0.55542725,0.60036856,0.5907769,0.6466768,0.6628134,1.8255812,2.1662853
95,ID192,mase,3.0691206,1.887768,2.3880913,1.6101651,1.2019541,1.0493697,2.296693,0.91463417
96,ID193,mase,3.076664,2.3424816,2.7394307,2.4934933,2.8561811,2.598227,1.7986388,1.374868
97,ID194,mase,0.57148844,0.4676607,0.48192477,0.6826629,0.31102335,0.27669272,1.9220918,2.1226304
98,ID195,mase,2.606117,2.401179,2.445555,2.3109145,2.1366105,2.1061125,1.9785004,2.10476
99,ID196,mase,0.62802124,0.6837324,0.8084803,0.6544596,0.834578,0.7646562,0.9351148,0.33703357
100,ID197,mase,0.1438057,0.10914001,0.12504157,0.11668758,0.09851494,0.14961357,1.4230906,1.925
101,ID198,mase,0.65807945,0.6302054,0.6264359,0.68967813,0.77607274,0.7144601,0.87768364,1.1333333
102,ID199,mase,2.7487502,2.281965,2.5689785,2.4304564,1.7979745,1.5639781,2.1856496,2.4128654
103,ID2,mase,2.015631,1.1741832,1.4521786,1.3611133,0.7708311,0.8312416,0.56678116,1.233998
104,ID20,mase,2.0431478,2.0131724,2.0627058,2.0759933,2.0040796,1.9742401,1.9927729,2.1860843
105,ID200,mase,1.736656,2.0007002,2.0029724,1.9825099,2.120754,2.3138437,3.7031486,5.0329757
106,ID201,mase,1.0105109,0.90276456,0.91291016,0.87111616,0.6966854,0.70300657,0.4877972,1.2861842
107,ID202,mase,0.30239013,0.20470001,0.24456868,0.23672262,0.16484788,0.12297952,0.5683149,0.69105685
108,ID21,mase,0.22672626,0.35794175,0.5078586,0.29449114,0.37886465,0.41945893,1.0325917,0.5606472
109,ID22,mase,3.113998,3.0235991,3.174432,2.4084992,2.0421739,2.198524,2.4100323,5.221981
110,ID23,mase,1.3111892,0.96867496,1.0840993,0.95744234,0.97506464,0.9111949,1.037785,2.5647058
