,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID1,mase,0.5102695,0.37315217,0.3176599,0.32465652,0.36164182,0.33388478,0.31125495,1.3309436
1,ID10,mase,1.2484013,1.2690666,1.2150266,1.2200125,1.1382291,1.3118647,2.275314,2.1313908
2,ID100,mase,0.49953413,0.5435156,0.44053763,0.51478046,0.4827212,0.5479356,0.43396991,0.6221448
3,ID101,mase,0.71198714,0.53349984,0.5784832,0.6133836,0.53704137,0.59840727,1.2415524,0.89518845
4,ID102,mase,0.8211915,0.9845273,0.8487459,0.8753983,1.2606972,0.9011727,1.3789825,1.1054027
5,ID103,mase,0.6465978,0.6713562,0.68295753,0.6067547,0.5776447,0.60614794,0.9401954,0.7836867
6,ID104,mase,1.062197,0.7218618,0.8253418,0.9615568,0.8411898,0.6602887,1.3338997,1.0984397
7,ID105,mase,1.0218539,0.6365792,0.81642145,0.92920136,0.7879365,0.5927588,1.2851243,0.99127084
8,ID106,mase,0.35378042,0.32989693,0.3168684,0.40718436,0.44380787,0.33445728,0.5428968,0.4424203
9,ID107,mase,0.94707084,0.8876346,0.96468055,1.0379802,0.8819926,0.8539216,1.2163465,1.1263956
10,ID109,mase,1.1178018,1.1256044,1.077732,1.1169462,0.9829997,1.1492809,1.160237,1.3157855
11,ID11,mase,0.905974,0.80151016,0.87270147,0.93913805,0.918749,0.7732777,0.7093686,1.0275849
12,ID110,mase,1.4906658,1.4551568,1.3335027,1.4823791,1.7345469,1.3582448,1.1332517,1.0465004
13,ID111,mase,2.633344,2.7246888,2.5274947,2.2012627,2.4970944,2.5475125,3.6615267,3.4543633
14,ID112,mase,0.6567302,0.7403375,0.92317504,0.69731045,0.69905555,0.73228574,0.90641785,1.8122567
15,ID113,mase,0.55164593,0.63170385,0.7800742,0.609439,0.5912059,0.6257706,0.757181,1.6487256
16,ID114,mase,0.79941314,0.7693623,0.7187651,0.752329,0.77687675,0.7528084,0.96643937,2.682198
17,ID115,mase,0.30290276,0.29250544,0.2886239,0.29641408,0.26788667,0.29101875,0.29949203,0.6967881
18,ID116,mase,0.8132112,0.9300055,0.7889449,0.8551964,0.93849605,0.8358286,0.7504551,0.56888604
19,ID117,mase,1.3355416,2.0122762,1.3290362,1.2054603,1.6307734,1.2439957,0.9012958,1.1275458
20,ID118,mase,0.7958085,0.67309356,0.7447224,0.79507667,0.7417892,0.69155425,1.092554,3.9492388
21,ID119,mase,0.5379928,0.6084051,0.81209683,0.60115296,0.578947,0.61455625,0.76626736,2.0553684
22,ID12,mase,0.9525654,0.93283784,0.96982414,0.83962697,0.9031066,0.86296415,1.0476983,0.9054125
23,ID120,mase,0.24149546,0.3247025,0.29203895,0.18872474,0.29812574,0.25791675,0.42154375,0.32082865
24,ID121,mase,0.4368314,0.43486485,0.44541195,0.35518312,0.444046,0.41320577,0.5791868,1.612157
25,ID122,mase,0.39268732,0.5587499,0.5746107,0.5336492,0.46290666,0.45386872,0.8097618,0.72865075
26,ID123,mase,0.4368314,0.43486485,0.44541195,0.35518312,0.444046,0.41320577,0.5791868,1.612157
27,ID124,mase,0.32954478,0.28743517,0.38464245,0.31182492,0.32732195,0.31182995,0.62021196,2.326119
28,ID125,mase,0.80081606,1.026553,1.0762236,1.0018783,1.0702928,1.0120195,0.80294263,0.9395154
29,ID126,mase,0.38885722,0.41348755,0.43034828,0.3354371,0.3768964,0.3914725,0.5084555,0.69265115
30,ID127,mase,0.6155248,0.82746595,0.7820457,0.7535062,0.7756199,0.7998261,0.6360737,0.69674885
31,ID128,mase,0.39478064,0.47045645,0.44807747,0.32900098,0.45106506,0.42335173,0.5251986,1.115829
32,ID129,mase,0.39707103,0.50590146,0.46554103,0.41295424,0.48122135,0.4476134,0.3564811,0.47546273
33,ID13,mase,3.7994027,3.7722633,3.640209,3.398991,3.0687568,3.664519,3.5241182,2.4192407
34,ID130,mase,0.47729495,0.45329902,0.464234,0.48340753,0.5237906,0.47898635,0.58562946,1.0970273
35,ID131,mase,0.7586423,0.8672064,0.7864583,0.7072929,0.75493443,0.912932,1.7818482,1.8247001
36,ID135,mase,1.2375866,0.78261906,1.3809218,1.0380523,1.5242709,1.0197344,2.0147913,3.0528395
37,ID136,mase,0.77424634,0.84329504,0.79819393,0.6941047,0.80928224,0.7763116,0.7881175,0.9531713
38,ID137,mase,1.665229,1.7479407,1.8573413,1.7795656,1.8351756,1.727084,1.583396,0.60115093
39,ID138,mase,0.62501293,0.4206892,0.52837074,0.63074416,0.6147721,0.45399553,1.2955563,1.3264941
40,ID139,mase,0.57520753,0.80069155,0.8112365,0.6612536,0.7092561,0.6639158,0.68434066,0.88450754
41,ID14,mase,2.2355309,2.0119696,2.1978517,2.1662664,2.232366,1.9914714,1.8035133,3.4552643
42,ID140,mase,2.252359,2.0640028,2.121525,2.2463665,2.0098197,1.908151,1.4802337,1.5312324
43,ID141,mase,0.65224725,0.85657173,0.56840295,0.69807655,0.59828097,0.6374288,0.991637,1.2757688
44,ID142,mase,0.68394715,0.6560648,0.602016,0.5487127,0.66147834,0.63864607,0.7746763,0.69485575
45,ID143,mase,1.3326856,1.1402779,1.2680312,1.3323505,1.2164344,0.9669577,1.3630837,1.1728123
46,ID144,mase,0.95860434,0.7124462,0.8207249,0.7033926,0.8919506,0.84214425,1.5330075,2.8657637
47,ID145,mase,1.461091,1.6496086,1.6967387,1.5703543,1.7630717,1.523312,1.3819005,1.3393744
48,ID146,mase,0.94018507,0.91795063,0.79673636,0.88660383,0.87185276,0.89349633,0.91840595,1.3084279
49,ID148,mase,0.49131864,0.6412105,0.45749462,0.5720472,0.4944342,0.46097127,1.6016238,1.3203704
50,ID149,mase,0.7258455,0.78146714,0.83928436,0.7581995,0.77804035,0.8028753,1.56083,1.5996094
51,ID15,mase,0.358695,0.41619107,0.41797936,0.39540675,0.59824485,0.427071,0.42226255,0.6028308
52,ID150,mase,0.7168032,0.7777838,0.78397584,0.70903414,0.72416437,0.85337555,0.6549698,0.83690864
53,ID151,mase,1.3161904,1.2487788,1.2847377,1.2641231,1.4030932,1.3414131,1.7906965,1.1294643
54,ID152,mase,0.703693,0.80548334,0.7711346,0.83168083,0.8920387,0.83435345,1.2089437,0.8533367
55,ID153,mase,0.8669279,0.7130869,0.761396,0.68048173,0.67797834,0.7142446,0.7475569,0.9006949
56,ID154,mase,0.1431685,0.14557283,0.10820872,0.13074033,0.13323754,0.12610763,0.11736818,1.3824303
57,ID155,mase,0.20582792,0.15269871,0.14539927,0.15566221,0.17954533,0.15871646,0.39241248,0.46743193
58,ID156,mase,0.84300405,0.8677223,0.7696276,0.72667253,0.760648,0.75753593,0.7361788,1.9656224
59,ID157,mase,0.6363071,0.76554203,0.68200964,0.7882288,0.6509223,0.7374274,1.2068217,1.4077095
60,ID158,mase,0.3650161,0.43786812,0.48429486,0.4390757,0.48477215,0.45615876,0.6322384,1.3308413
61,ID159,mase,1.1106511,0.9980646,0.9988183,1.012456,1.0183302,0.977713,0.9612323,0.52017
62,ID16,mase,0.7420439,1.0714442,0.9212074,0.83546066,0.9122891,1.066596,1.1387678,0.8226528
63,ID160,mase,0.7846635,0.59556425,0.61274815,0.73270255,0.8630254,0.7504681,1.615584,1.7099007
64,ID161,mase,0.916686,0.9369794,0.95355105,0.915332,0.9054869,0.94995886,1.1739843,1.1637948
65,ID162,mase,0.5300963,0.58850867,0.5031913,0.48985502,0.43448183,0.5135433,0.628893,0.967989
66,ID163,mase,1.2916708,1.5489635,1.5240076,1.4141234,1.4945303,1.5041761,1.214413,1.0950634
67,ID164,mase,1.2727362,1.2579019,1.5610853,1.1121769,1.2992128,0.9041713,1.4597266,1.2852246
68,ID166,mase,0.81363934,0.82474387,0.6851614,0.70183575,0.8560444,0.7220933,0.50334686,0.8550217
69,ID17,mase,0.69128317,0.60477704,0.58642447,0.60876554,0.5712544,0.55514437,0.5556072,0.81046563
70,ID170,mase,0.7446431,0.6338357,0.66290194,0.8107689,0.6525653,0.6791211,0.9322527,0.85717124
71,ID171,mase,0.5887939,0.49835506,0.56031626,0.51919276,0.5658978,0.49047902,0.7697509,0.6593079
72,ID173,mase,0.41860396,0.48158556,0.48623818,0.48186213,0.47981298,0.44357488,0.5298726,0.7216893
73,ID174,mase,0.87071073,0.84928906,0.81633013,0.8089546,0.8135709,0.88544136,0.7000952,0.80446875
74,ID175,mase,0.3878716,0.3013964,0.3333173,0.3497351,0.31641516,0.32092458,0.44950843,0.4194902
75,ID176,mase,0.3626903,0.34625098,0.35582766,0.29343566,0.3759773,0.30202794,0.26016974,0.402515
76,ID177,mase,0.90017915,0.8323559,0.9156428,0.8298444,0.87601584,0.8648929,0.9751966,1.1875
77,ID178,mase,1.0316195,0.845614,0.9020387,0.9727454,0.9266657,0.96492285,0.9415756,1.231003
78,ID179,mase,1.1944914,0.99835217,0.9204522,0.8166742,0.78294957,0.8222973,0.98380363,0.59108186
79,ID18,mase,0.93050164,0.9356982,0.916963,0.9037005,0.9300503,1.0643196,1.3611227,0.57224244
80,ID180,mase,2.7090614,2.8485472,2.622141,2.2399998,2.0467012,2.6735032,2.574717,1.6584953
81,ID181,mase,1.1187272,1.1727192,1.1784612,1.2070086,1.2202163,1.2062786,1.0586846,1.4002092
82,ID182,mase,0.6614999,0.4452461,0.5592155,0.6675677,0.65065336,0.48048967,1.371185,1.4039319
83,ID183,mase,1.9444071,2.0997965,2.1714015,2.0810683,2.1039317,2.1683664,1.0329067,1.2428038
84,ID184,mase,0.5832684,0.6488009,0.65861344,0.61296314,0.56459147,0.740109,0.75722927,1.1432112
85,ID185,mase,1.7101566,1.8460019,1.4785067,1.6665504,1.3849635,1.8379682,2.8956428,1.3355491
86,ID186,mase,0.6732415,4.4182625,3.6559412,4.154748,3.670008,4.276421,4.186757,1.0019947
87,ID187,mase,0.49542817,0.34978148,0.41700655,0.36461982,0.39005017,0.32831734,0.37171617,0.4592391
88,ID188,mase,0.7479627,0.8246182,0.97505766,0.82406104,0.8462727,0.8451061,1.4060802,0.6239772
89,ID189,mase,0.587148,0.5542852,0.5706965,0.6414092,0.66877586,0.5852636,0.9268876,0.34181756
90,ID19,mase,1.2933683,1.0098577,1.107722,1.1005653,1.0156729,1.3093385,2.0783749,0.821764
91,ID190,mase,1.9661595,2.4436007,2.091584,1.3797978,2.2553709,1.9820263,1.4736934,1.0136229
92,ID191,mase,0.27641723,0.45766267,0.35328713,0.3086036,0.39204386,0.35894,0.50497663,0.49678412
93,ID192,mase,0.63223207,1.0363959,0.9866293,0.6943297,0.86903,0.911019,0.9986068,0.8085548
94,ID193,mase,0.80378366,0.75300115,1.073007,0.9532185,0.75169617,0.8874909,1.2490892,1.1993037
95,ID194,mase,0.6823769,1.3136652,0.74164015,1.2153317,0.83470714,0.7447068,2.0239518,1.325091
96,ID195,mase,1.4033607,1.4544657,1.5330343,1.6299286,1.7210637,1.6533732,1.599481,2.3057368
97,ID196,mase,0.62238866,0.44666657,0.4883443,0.56960535,0.5382468,0.5419943,0.8190164,1.0120769
98,ID197,mase,1.5486789,1.4572825,1.5170647,1.5483049,1.556745,1.5129544,1.5245428,2.8499756
99,ID198,mase,1.3430934,1.3660868,1.3799537,1.3846827,1.3862668,1.4554157,1.3485122,1.6102061
100,ID199,mase,0.8300687,0.7917917,0.8154053,0.82456315,0.8104243,0.79785216,0.88354975,0.98944926
101,ID2,mase,1.1022897,0.9262307,0.93330157,1.0088791,1.0227325,0.9400133,1.6604701,0.981118
102,ID20,mase,1.4475368,1.3646708,1.6180913,1.6267806,1.426986,1.8144249,3.3204374,0.8096639
103,ID200,mase,0.67236817,0.9917526,0.76247126,0.80344146,1.1453127,0.84158146,1.5190082,1.4457788
104,ID201,mase,1.5126603,1.4754446,1.5662036,1.5326936,1.6025635,1.5178603,1.6901827,1.9026387
105,ID203,mase,1.1158898,1.2116464,1.2181371,1.2498175,1.1421741,1.4440273,0.6713251,0.8836348
106,ID204,mase,1.6375505,1.7194573,1.7129755,1.5472811,1.5190861,1.6666447,1.8217585,1.4893458
107,ID205,mase,0.570124,0.4047264,0.36805844,0.34763697,0.39355725,0.42807543,0.8895138,0.78033537
108,ID206,mase,1.4477955,2.720919,3.0071943,2.6752598,2.5327125,2.8668826,4.3583045,0.9249885
109,ID207,mase,0.5157783,0.45889854,0.5324544,0.51290995,0.53704464,0.6734945,2.6351593,2.0252976
110,ID208,mase,0.2642092,0.358187,0.31699494,0.36264905,0.47530597,0.43818775,0.3822952,0.97635674
111,ID209,mase,0.76356506,0.69437456,0.6112236,0.6958185,1.0020974,0.7932162,2.0080774,0.8431115
112,ID21,mase,0.6271066,1.059383,0.7932699,0.83115506,0.7528992,0.9274617,1.3311123,0.6866227
113,ID210,mase,0.4258229,0.66671664,0.5702297,0.6878227,0.9701277,0.75307935,1.5708838,0.58718306
114,ID211,mase,0.94949776,0.67049885,0.8097479,0.7921442,0.54998267,0.6201119,1.4432294,1.1463808
115,ID212,mase,0.5616453,0.80356777,0.81234,0.810707,0.8809566,0.8821858,0.70866436,0.6344476
116,ID213,mase,4.178334,4.332458,4.1716647,4.1000643,4.3803086,4.262356,4.158268,4.4444447
117,ID214,mase,1.0122111,1.0456738,1.2271395,1.0603886,1.2407516,1.1181059,1.6444284,1.5047021
118,ID215,mase,0.6172909,0.53692484,0.6332412,0.48965287,0.5491889,0.49727717,0.40756878,1.2281715
119,ID216,mase,0.8642162,1.2890573,1.6924986,1.1003813,1.6425343,1.4598948,0.7920184,0.4139799
120,ID217,mase,1.0133175,1.0271589,1.1185104,0.99040186,1.0109695,1.0728496,0.65402716,1.1093439
121,ID218,mase,0.7309221,0.7454583,0.80624735,0.7557335,0.7298283,0.8183996,0.6051017,1.1060677
122,ID219,mase,1.4425818,1.1040634,1.2643974,1.1758424,1.217918,1.3651147,1.0945685,1.6338028
123,ID22,mase,0.5382746,0.5394246,0.59214795,0.5535495,0.5803309,0.60281104,0.51830196,0.7997436
124,ID23,mase,0.49732694,0.45435664,0.46924973,0.48487708,0.45642948,0.45674193,0.4895118,1.0076295
125,ID231,mase,0.8979437,1.0436751,1.0654343,0.8989648,1.124905,1.0720358,2.230912,0.90783924
126,ID232,mase,1.6683277,1.0909277,1.1397026,1.0694753,0.9193803,0.93654937,2.835241,1.9097537
127,ID233,mase,0.4198214,0.559991,0.62216544,0.49351376,0.43654534,0.54952,0.64355564,0.76509136
128,ID234,mase,1.8029051,2.1266365,2.0782802,2.1439347,2.0865736,1.9914812,2.119384,0.98095214
129,ID235,mase,2.534078,3.2194595,2.730896,2.705776,2.6260126,2.8679717,3.6670501,3.6458514
130,ID236,mase,0.5574318,0.7180979,0.5968274,0.59966344,0.679673,0.6852959,1.060875,0.5302686
131,ID237,mase,0.801968,0.63631314,0.6941691,0.6950107,0.73046273,0.67010885,0.76501095,1.7406281
132,ID238,mase,0.69625586,0.703727,0.60322213,0.7603354,0.7387773,0.6765327,1.4506553,0.99670285
133,ID239,mase,0.913214,0.937037,0.8553036,0.96701515,1.1434741,0.94324416,1.8757193,1.0546768
134,ID24,mase,1.5560967,1.5983143,1.2481804,2.0281882,1.49578,1.3572446,1.6441584,0.93655455
135,ID242,mase,0.4087776,0.42779735,0.3797454,0.40029216,0.45065013,0.3650571,1.0604022,0.47581142
136,ID247,mase,1.3844198,0.82133913,0.9214335,0.92792326,0.9840879,0.95767957,0.9230396,2.781778
137,ID248,mase,1.9781096,1.5977012,1.3621323,1.3701264,1.5630364,1.4466652,1.4491104,2.014258
138,ID249,mase,0.7789594,0.8036127,0.9284608,0.89510965,0.8929373,0.8576367,1.1304531,0.75460535
139,ID25,mase,3.4772053,2.5324855,2.7779543,3.0058444,2.680921,2.538381,3.0671773,2.0790772
140,ID250,mase,0.51987743,0.93819785,0.5530632,0.83622557,0.69566023,0.4924948,0.7460821,1.1462935
141,ID251,mase,1.2366152,0.98100144,1.0485175,1.1347641,1.0798649,1.0278972,1.3142983,1.3287966
142,ID252,mase,0.60624003,0.6469207,0.59742486,0.55965406,0.60878456,0.5316011,0.39601552,0.7825169
143,ID254,mase,1.0798118,1.1844075,1.1700565,1.1360306,1.2067457,1.0965093,0.8706699,0.93875074
144,ID255,mase,1.0955613,0.5348061,0.65884614,0.4791226,0.53533167,0.66284764,0.5750221,1.0242623
145,ID256,mase,0.66905123,0.6451275,0.75146157,0.7969587,0.7755531,0.8216854,0.8863277,0.7755927
146,ID257,mase,1.1345416,1.1639537,1.1157762,1.1292993,0.96943897,1.0306553,1.1395332,1.0513228
147,ID258,mase,0.77519315,0.67942387,0.77310336,0.82504547,0.9398368,0.7323269,1.6771075,1.604323
148,ID259,mase,1.4391229,1.5555214,1.508617,1.4258577,1.5687987,1.5170394,1.257376,1.1743547
149,ID26,mase,0.5764533,0.58338374,0.42798454,0.42490777,0.18331243,0.3918407,1.3084934,1.2990628
150,ID260,mase,1.5346096,1.4151092,1.1518341,1.3173139,1.2511435,1.3213184,1.0825168,1.3106998
151,ID261,mase,0.69475293,0.5638263,0.5997521,0.64078283,0.6150715,0.5191712,0.6519355,0.7265092
152,ID262,mase,0.23567516,0.29158437,0.2507501,0.26993287,0.269306,0.2676827,0.27705982,0.2109925
153,ID263,mase,0.92551035,0.9468986,1.0223498,0.7462215,0.9698941,1.0266054,0.58322275,0.6997563
154,ID264,mase,0.63847274,0.8474262,0.7468203,0.6469574,0.8301535,0.7064414,0.32482895,0.43362597
155,ID265,mase,0.7689925,0.78062993,0.83878565,0.82949054,0.78321064,0.856445,0.61745745,0.89198726
156,ID266,mase,0.24010375,0.19876988,0.20978522,0.24652894,0.22467405,0.32538128,0.11636175,0.3159341
157,ID267,mase,1.136193,1.0588263,0.9365473,0.9637516,0.9230912,0.8732574,0.5657062,0.40861303
158,ID268,mase,0.73600566,0.68609643,0.6433424,0.61413234,0.65648836,0.63448334,0.45738775,0.61947227
159,ID269,mase,0.8374197,1.1279227,1.0919489,1.0758001,1.1356376,1.1254095,1.0425067,1.0137676
160,ID27,mase,1.7739329,1.7136298,1.7696912,1.8071846,1.6966361,1.7985578,1.8535316,1.8932879
161,ID270,mase,0.49509534,0.47769007,0.48760784,0.5095886,0.45316732,0.52976936,0.65586954,0.5236716
162,ID271,mase,0.49873394,0.3082604,0.3133957,0.45860723,0.27763346,0.34585822,0.79491204,1.0259479
163,ID272,mase,0.33345968,0.41412497,0.2917217,0.36791554,0.44187227,0.36270756,0.5904209,0.40099624
164,ID273,mase,0.8129194,0.79673666,0.6750065,0.84254026,0.64423263,0.83273035,1.5281961,1.767175
165,ID274,mase,0.75425464,0.6030244,0.7211454,0.7284892,0.6828558,0.68772954,1.6199404,1.3520948
166,ID275,mase,0.860296,0.8724971,0.8215822,0.86119425,0.86434495,0.8077277,1.3609257,1.1141813
167,ID276,mase,0.605571,0.72394603,0.7116223,0.65581906,0.6661776,0.639417,0.67846775,0.94824564
168,ID277,mase,1.2624205,1.0241326,0.8910712,1.3058181,0.9934099,1.0036407,2.467432,2.5481346
169,ID278,mase,1.328858,1.1142315,1.5967711,1.8196365,2.1369889,1.739849,2.2957962,1.4252601
170,ID279,mase,0.70446664,0.7604126,0.8442674,0.8475349,0.77816504,0.6813606,0.9929116,1.1252685
171,ID28,mase,2.5637925,2.5657158,2.8657644,2.5510623,2.6291559,2.6325958,1.3836507,1.537677
172,ID280,mase,1.326867,1.4783235,1.4461927,1.4264488,1.524057,1.2827452,1.5317801,1.286995
173,ID281,mase,0.43392307,0.4303184,0.35299283,0.38266212,0.38898307,0.41458303,0.45773008,0.6745085
174,ID282,mase,0.53802955,0.5826597,0.64557576,0.48447025,0.51975363,0.6955084,0.24563347,0.5711921
175,ID283,mase,0.63260466,0.69424576,0.61557597,0.8142734,0.62955093,0.6206602,0.70022607,0.65329045
176,ID284,mase,0.46608317,0.32141563,0.3693251,0.4374633,0.32532597,0.4057135,0.32266098,0.40590903
177,ID285,mase,0.45890084,0.43720978,0.43396127,0.45571443,0.43040207,0.42762145,0.7139122,0.8170391
178,ID286,mase,0.5368217,0.48848626,0.49634755,0.49251696,0.53266215,0.5448366,1.0669252,0.7472353
179,ID287,mase,2.1715112,2.0233252,2.3244011,2.2892785,2.04444,2.7210913,1.3058041,1.0435442
180,ID288,mase,0.43822247,0.38196945,0.34370986,0.39161474,0.4630374,0.42594743,0.91309804,0.62411517
181,ID289,mase,1.046967,0.91722876,1.1837404,1.0017207,0.8897304,0.94048846,2.960214,1.9252143
182,ID29,mase,0.7340268,0.74223876,0.7170972,0.70646757,0.7430489,0.7394053,1.2540032,0.82894737
183,ID290,mase,0.7419765,0.60200876,0.6940798,0.7367378,0.65444124,0.8238183,0.8272017,1.1855603
184,ID291,mase,1.31253,1.3610867,1.2783266,1.3608973,1.404509,1.3622652,1.580237,1.2319365
185,ID292,mase,1.5424548,1.4283887,1.3195457,1.3933163,1.3681529,1.4074044,1.1538105,2.2720368
186,ID293,mase,0.7433859,0.5856936,0.5499872,0.5794298,0.6284465,0.609556,0.7263293,0.7153755
187,ID294,mase,1.56854,1.2306646,1.1702864,1.3645216,1.2910761,1.2248377,1.0880283,0.9225275
188,ID295,mase,1.0931038,1.6611679,1.4701219,1.3523922,1.5056498,1.2389011,0.5352464,0.9474581
189,ID296,mase,1.5913094,1.4660945,1.521168,1.6284162,1.5965171,2.1546533,2.151386,1.4860461
190,ID297,mase,1.3051333,1.1348075,1.0130522,1.1971272,1.0461823,0.99734735,1.4550353,1.4507946
191,ID298,mase,0.39516437,0.41417405,0.4476725,0.4318495,0.460606,0.4471208,0.4892517,0.5605773
192,ID299,mase,0.3040174,0.17525391,0.17920831,0.21733166,0.18944041,0.18063441,0.64799654,0.50797176
193,ID3,mase,0.4930176,0.4524723,0.54357487,0.5077924,0.5058494,0.43063274,1.3518101,1.2222863
194,ID30,mase,1.1054183,1.2543522,1.3068616,1.2825335,1.31424,1.1435677,1.6633737,1.3490342
195,ID300,mase,3.3800263,3.4909842,3.4999914,3.3072367,3.0889904,3.1552932,3.4473758,2.1553085
196,ID301,mase,0.71523535,0.6732248,0.7740539,0.8638419,0.82000905,0.7276742,0.41011766,0.948039
197,ID302,mase,0.4567975,0.43199185,0.48058602,0.46552086,0.40548477,0.44714424,0.56519645,0.5023828
198,ID303,mase,1.7636448,2.0316024,1.8825965,1.6065542,1.6439127,1.909346,2.8424332,0.7984488
199,ID304,mase,0.728492,0.7987402,0.770145,0.7120074,0.80585134,0.8831988,0.88345104,1.0807784
200,ID305,mase,1.6777164,2.8187132,1.6906028,2.2212622,1.558026,2.0392978,3.6371906,0.98071605
201,ID306,mase,1.3614454,1.2518375,1.2550254,1.3397855,1.2082623,1.2826293,1.9512141,1.8654578
202,ID307,mase,2.1285386,2.2951183,1.8640219,1.9678698,2.060419,2.1000037,2.9472399,1.532445
203,ID308,mase,2.344555,2.1399257,2.469095,2.197571,2.3444822,2.258103,1.7747945,1.947861
204,ID309,mase,1.1447508,1.2721273,1.299526,1.1960387,1.0888873,1.0887898,0.49223828,1.0892391
205,ID31,mase,0.8792617,1.0720236,1.1290245,1.1801786,1.0787845,0.8526534,1.1588956,1.2349371
206,ID310,mase,0.34086123,0.6255156,0.5251491,0.48935598,0.39246964,0.5825896,0.8968618,1.0092764
207,ID311,mase,0.77306044,0.7053175,0.8777021,0.77694416,0.78609955,0.7171675,0.26711643,0.84535724
208,ID312,mase,0.32433227,0.28422758,0.2933836,0.3552774,0.3494681,0.34188488,0.8038432,0.73686975
209,ID313,mase,1.3347833,1.3590938,1.2904614,1.4082196,1.5480821,1.4927716,2.1731253,1.5523163
210,ID314,mase,0.37123707,0.3360044,0.3649748,0.34131044,0.31152982,0.36669108,0.650182,1.1831284
211,ID315,mase,0.66563505,0.50075275,0.5488115,0.6575787,0.50827956,0.6228987,0.9045287,1.4123303
212,ID316,mase,0.74775475,0.7426409,0.7465469,0.72433263,0.6410521,0.67057115,0.8239899,0.53884405
213,ID317,mase,0.67046344,0.6099584,0.6276116,0.67247266,0.65036666,0.6608125,0.44058454,0.6101888
214,ID318,mase,1.5162235,1.0876362,1.2175065,1.2486196,1.1142886,1.2466724,1.2236074,1.5786444
215,ID319,mase,0.80328006,1.2109289,1.111811,1.1643327,1.4086612,1.056278,1.0381905,0.7206659
216,ID32,mase,0.89855576,0.8139788,0.6437574,0.72879386,0.8095796,0.8903485,1.2740778,1.0715846
217,ID320,mase,0.6519054,0.6492331,0.6168371,0.63912404,0.6072485,0.62884206,0.6576729,0.80440205
218,ID321,mase,0.25513503,0.27328825,0.2845824,0.29190594,0.31789815,0.30426127,0.21691532,0.42527083
219,ID322,mase,0.6971881,0.6351321,0.64454365,0.7229306,0.6499572,0.6306088,0.9025269,1.1006299
220,ID323,mase,1.127854,1.1099548,1.1737492,1.1223438,1.2984937,1.055874,0.6354792,0.91041154
221,ID324,mase,1.272446,1.0894557,0.9561905,1.262303,0.97485197,0.7895675,1.405607,2.2557106
222,ID325,mase,0.9731314,0.99610037,0.84196883,0.93152285,0.8558866,0.80389994,0.83582556,1.1240071
223,ID326,mase,0.4910734,0.32907858,0.35058215,0.39916158,0.35207677,0.37420633,0.8033704,0.548713
224,ID327,mase,1.0140983,1.0594354,1.1300076,1.0192397,1.2149304,1.2187635,1.9583049,1.7160449
225,ID328,mase,0.93120354,0.64738065,0.6714896,0.62177587,0.7031518,0.68604857,0.5255047,0.70599484
226,ID329,mase,2.1415277,2.2998018,2.3734388,2.662263,2.560953,2.3244429,2.0236433,1.9271574
227,ID33,mase,1.0119269,1.1143541,1.0374948,1.0253576,1.0330089,0.998845,1.2272441,0.88378173
228,ID330,mase,0.6913187,0.7037925,0.64855355,0.5458322,0.5980114,0.617474,0.8967069,0.5290483
229,ID331,mase,1.089774,1.3588398,1.2543335,1.2899727,1.1824356,1.2345574,0.81772447,1.1523294
230,ID332,mase,0.47904897,0.44563118,0.3997954,0.5199564,0.4027393,0.4007999,0.6325816,0.717236
231,ID333,mase,0.46186188,0.33761618,0.39334798,0.2516582,0.32245028,0.39841983,0.79439867,0.3892922
232,ID334,mase,0.80488515,0.6120363,0.701069,0.705597,0.52750367,0.61991334,0.7163136,0.7283808
233,ID335,mase,2.8237414,2.5503929,2.510431,2.7726393,2.3740325,2.5964715,3.5873456,3.4432507
234,ID336,mase,1.5435044,2.6207743,2.4512718,2.2487085,2.784402,1.623162,1.4626658,1.5908213
235,ID337,mase,1.8468788,2.3118176,2.204369,2.1160314,2.3669884,1.9390819,0.9790114,1.4611231
236,ID338,mase,0.9667391,1.16454,1.1292497,1.0985557,1.1672153,1.0871336,1.151413,1.5584412
237,ID339,mase,0.97843784,0.7484835,0.81409407,0.8562117,0.83450776,0.78006923,1.0794921,1.0616494
238,ID34,mase,1.6576945,1.6884446,1.6059464,1.7903645,1.7570258,1.5919642,1.9417711,1.5139388
239,ID340,mase,1.0966396,1.1679282,1.2853457,1.1374685,1.1043574,1.2476858,1.4944475,1.5025455
240,ID341,mase,0.6101809,0.5882566,0.57848215,0.585542,0.6189507,0.60461545,0.62313324,0.7787036
241,ID342,mase,1.7519233,1.8313905,1.8839628,1.9813653,1.8538802,1.8440388,1.0828884,1.8708245
242,ID343,mase,1.632162,2.145165,2.0757656,1.9442335,2.0765119,2.1011844,2.0473561,1.2975597
243,ID344,mase,1.2936605,0.8215128,1.1039498,0.6363131,0.67469597,0.73276037,1.4375732,1.1230047
244,ID345,mase,1.0222728,1.3401296,1.2679589,1.0831407,1.3670992,1.1059811,0.88213676,1.1580863
245,ID346,mase,0.9036015,0.8230603,0.72455513,0.7976613,0.87112343,0.71532536,0.9930753,0.6897458
246,ID347,mase,0.53762555,0.4942205,0.48353246,0.5357915,0.5038898,0.4586882,0.57156795,0.55973196
